Engine speed,KMR_20_2020_10_20_Robert_Stanciu_5000_Part_1_WAVE_Solver.sum,Intake_rpm
rpm,N*m,
15000.00977,31.32031059,5000
14500,34.12139893,5000
14000,35.72769165,5000
13500,37.14791107,5000
13000,37.62337112,5000
12500,39.10416031,5000
12000,41.45748138,5000
11499.99023,41.80395889,5000
11000.00977,40.99069977,5000
10500,40.12604904,5000
10000,39.44007874,5000
9499.999023,37.1614418,5000
9000.000977,38.46292114,5000
8500.009766,50.49322128,5000
8000.000977,55.44340897,5000
7500.000977,57.37807846,5000
7000,54.7251091,5000
6500,53.90084076,5000
5999.995117,57.4874115,5000
5500.005859,61.3651886,5000
5000.004883,49.85559082,5000
4500.00293,41.06771088,5000
3999.998047,37.57258987,5000
3500.00293,36.13430023,5000
2999.999023,45.53778839,5000
2500.001953,44.5286293,5000
2000.004028,26.6765995,5000
1500.004028,32.23630905,5000
999.9970703,29.42536926,5000
15000,30.77878952,5000
14500.03027,33.54314041,5000
13999.99023,35.36859894,5000
13500,37.20946121,5000
13000,38.15676117,5000
12500,39.68091965,5000
12000,41.46950912,5000
11500,41.64810181,5000
11000,39.69406891,5000
10500.00977,40.0195694,5000
10000,41.0014801,5000
9500.000977,42.35456085,5000
8999.995117,44.21036911,5000
8500,54.51818085,5000
7999.992188,58.43748856,5000
7499.999023,53.09918976,5000
6999.998047,49.56750107,5000
6500.003906,49.12955856,5000
6000,53.09228897,5000
5499.998047,56.74259949,5000
4999.995117,35.8141098,5000
4500.001953,45.67406082,5000
4000.004883,50.59706116,5000
3500.000977,41.22906876,5000
3000,39.50189972,5000
2500.001953,41.3343811,5000
2000,28.06382942,5000
1500.001953,36.68709946,5000
1000.005981,29.58329964,5000
14999.98047,30.86096954,5000
14500,33.19218063,5000
14000,34.87348938,5000
13500.00977,36.20357895,5000
13000,37.04172134,5000
12500.00977,39.32307053,5000
12000.00977,41.5100708,5000
11500.00977,41.0865097,5000
11000,40.25485992,5000
10499.99023,40.65143967,5000
10000,41.59658813,5000
9500.004883,42.71860886,5000
9000.00293,44.64551926,5000
8499.992188,54.20293045,5000
8000.00293,56.43151855,5000
7499.996094,54.98125839,5000
6999.994141,54.45264816,5000
6499.994141,53.09429932,5000
6000.001953,46.75553894,5000
5500.007813,52.39825821,5000
5000.004883,39.09909058,5000
4500.001953,36.83464813,5000
4000.000977,35.00366974,5000
3500,51.69561005,5000
3000.001953,43.0156517,5000
2499.99707,35.15990067,5000
1999.999023,33.05261993,5000
1500.001953,31.01383018,5000
1000.005005,30.38059998,5000
14999.99023,29.9877491,5000
14499.99023,32.51449966,5000
14000.01953,34.12057877,5000
13499.98047,35.13885117,5000
13000,34.71345139,5000
12499.98047,35.48250961,5000
12000.00977,37.29859161,5000
11500.00977,36.96387863,5000
10999.99023,36.00049973,5000
10500,38.73582077,5000
9999.999023,39.75051117,5000
9500.000977,42.0775795,5000
9000.003906,44.92084122,5000
8500.00293,54.92256927,5000
8000,54.93889999,5000
7500.000977,53.76287079,5000
6999.999023,54.05049896,5000
6500.001953,55.06763077,5000
5999.99707,56.67140961,5000
5500.01123,58.48598099,5000
4999.99707,35.63665009,5000
4499.99707,39.33218002,5000
3999.998047,45.04623032,5000
3499.999023,40.34711075,5000
3000.001953,44.00411987,5000
2499.99707,33.35316086,5000
2000.000977,28.87828064,5000
1500.000977,31.07863998,5000
999.9951172,30.07908058,5000
14999.99023,30.04223061,5000
14500,32.46258926,5000
14000,34.04874039,5000
13500,35.49378967,5000
13000,36.66529846,5000
12499.99023,39.56071854,5000
12000.00977,42.24185944,5000
11500,42.70681,5000
10999.99023,40.94792175,5000
10500.00977,41.33892822,5000
10000,41.92287064,5000
9499.994141,43.26758957,5000
9000.001953,45.25907135,5000
8499.999023,51.56552124,5000
7999.98877,51.56724167,5000
7500.004883,47.23913956,5000
7000,48.77186966,5000
6499.996094,53.79244995,5000
5999.998047,59.07529068,5000
5500.004883,61.50566101,5000
5000.004883,48.73041916,5000
4500.004883,37.56969833,5000
3999.998047,33.31200027,5000
3500.00708,48.12886047,5000
2999.998047,38.35522079,5000
2500.003906,32.20483017,5000
1999.998047,30.73757935,5000
1500.001953,31.50717926,5000
999.9942017,31.93736076,5000
15000,30.77878952,5000
14500,32.62026978,5000
14000,34.48270035,5000
13499.99023,36.09291077,5000
13000,36.82093048,5000
12500.00977,39.94190979,5000
11999.99023,42.54634094,5000
11499.99023,42.9468689,5000
11000,41.73696899,5000
10500,41.46263885,5000
10000.00977,42.77653122,5000
9500.00293,43.67982101,5000
9000,45.01699066,5000
8499.993164,49.63679123,5000
8000.012207,49.99488831,5000
7500.01416,45.5064888,5000
7000,46.39664841,5000
6500.001953,48.36783981,5000
6000.001953,54.76683044,5000
5499.990234,60.33906174,5000
4999.99707,52.25304031,5000
4499.99707,45.77104187,5000
3999.996094,40.86383057,5000
3499.999023,42.64628983,5000
2999.999023,36.88584137,5000
2499.998047,35.64896011,5000
2000.005005,34.20597076,5000
1499.994995,31.54314995,5000
999.9998169,33.07727051,5000
14999.99023,26.77668953,5000
14500,30.00338936,5000
13999.99023,32.44562149,5000
13499.99023,34.31241989,5000
12999.99023,34.95981979,5000
12500.00977,37.70652008,5000
12000,40.54996109,5000
11500,41.48308182,5000
11000,41.79969025,5000
10500,41.93827057,5000
10000,42.98574829,5000
9500.004883,43.87932968,5000
8999.998047,45.18833923,5000
8499.995117,53.98455048,5000
8000.001953,54.89780045,5000
7500.00293,50.96306992,5000
6999.991211,49.58179855,5000
6499.999023,49.90122986,5000
5999.996094,49.98984909,5000
5500,59.33190155,5000
4999.995117,46.12960052,5000
4500.00293,44.09457016,5000
3999.996094,39.97227097,5000
3500,45.51847839,5000
3000,33.01152039,5000
2500.001953,34.1205101,5000
1999.999023,30.85482979,5000
1499.999023,33.44681931,5000
1000.013,33.00088882,5000
15000.00977,29.49996948,5000
14499.99023,32.48688889,5000
13999.99023,34.38611984,5000
13500,35.9859314,5000
12999.99023,36.53047943,5000
12500.00977,38.85583115,5000
12000.00977,41.98791122,5000
11500,43.06409073,5000
10999.99023,42.55062103,5000
10500,42.49782944,5000
9999.995117,43.04006958,5000
9500.008789,43.12841034,5000
8999.995117,44.18292999,5000
8499.99707,51.06919098,5000
7999.998047,53.18220139,5000
7500.007813,53.62157059,5000
6999.99707,53.03017044,5000
6500.003906,54.94992828,5000
5999.992188,56.48680115,5000
5500.007813,56.05725098,5000
5000.000977,36.43795013,5000
4499.998047,45.69876862,5000
3999.999023,48.344841,5000
3500.004883,39.08959961,5000
3000,33.75806046,5000
2499.998047,35.6053009,5000
2000.001953,30.57695007,5000
1500.005981,35.02542114,5000
1000.004028,33.57138062,5000
14999.99023,29.27528,5000
14500.00977,32.70487976,5000
14000.00977,34.98059082,5000
13500.00977,37.19200134,5000
13000,38.81872177,5000
12499.99023,40.94729996,5000
12000.00977,43.32973099,5000
11499.99023,43.88333893,5000
11000,42.92079163,5000
10500,42.31961823,5000
10000.00977,41.76826096,5000
9500,42.3404808,5000
8999.995117,43.80519867,5000
8499.993164,48.68381882,5000
8000,50.04938126,5000
7500.001953,47.3445816,5000
6999.998047,51.39337921,5000
6500.001953,55.74279022,5000
5999.995117,59.64028931,5000
5500.004883,61.38874054,5000
4999.993164,42.28342056,5000
4500.005859,36.48950958,5000
3999.999023,45.96350098,5000
3499.990967,37.57820892,5000
3000,33.47903824,5000
2500.003906,37.62247849,5000
1999.994995,29.62207985,5000
1499.998047,35.11186981,5000
1000.005981,34.11619186,5000
15000,31.30970001,5000
14500,34.12268066,5000
14000.00977,35.71987915,5000
13500,37.14188004,5000
13000,37.62218857,5000
12500,39.11534882,5000
12000,41.44675827,5000
11500,41.80794907,5000
11000,40.99077988,5000
10500.00977,40.14020157,5000
10000.00977,39.54019165,5000
9500.000977,37.22174072,5000
8999.993164,38.48900986,5000
8500.00293,50.52754974,5000
8000.003906,55.47893906,5000
7499.993164,57.50025177,5000
6999.990234,54.78871918,5000
6499.998047,53.96886063,5000
5999.998047,57.54111862,5000
5500.004883,61.38222885,5000
5000.00293,49.86529922,5000
4499.999023,41.09563828,5000
4000.00293,37.69525909,5000
3500.000977,36.33493042,5000
2999.993896,45.68146133,5000
2499.999023,44.39616013,5000
2000.003052,26.54697037,5000
1500.005981,32.35707092,5000
999.996521,29.31901932,5000
15000,30.78276062,5000
14500,33.54998016,5000
14000.00977,35.36577988,5000
13499.99023,37.19760895,5000
13000,38.1496315,5000
12500,39.6787796,5000
11999.99023,41.45278931,5000
11499.98047,41.65893173,5000
11000,39.7492218,5000
10499.99023,40.04867935,5000
10000.00977,41.03353882,5000
9500.000977,42.37033081,5000
9000,44.22312164,5000
8499.999023,54.49967957,5000
7999.99707,58.44342041,5000
7500,53.15570831,5000
7000.001953,49.65962982,5000
6499.996094,49.16764069,5000
6000.003906,53.12469864,5000
5500,56.7427597,5000
5000.001953,35.82894897,5000
4500.00293,45.78303909,5000
3999.998047,50.68227005,5000
3499.996094,41.49707031,5000
2999.998047,39.56507111,5000
2500.001953,41.30812073,5000
1999.998047,27.97874069,5000
1500.000977,36.8331604,5000
1000,29.46875954,5000
15000,30.86128044,5000
14500,33.19517136,5000
14000.01953,34.8777504,5000
13500,36.20269012,5000
13000,37.0450592,5000
12499.99023,39.32807922,5000
11999.99023,41.53252029,5000
11500,41.12144089,5000
11000,40.43000031,5000
10500,40.70996857,5000
9999.985352,41.53689957,5000
9500.000977,42.75064087,5000
8999.995117,44.65695953,5000
8499.985352,54.21113968,5000
7999.981934,56.50598907,5000
7500.00293,55.02148819,5000
6999.995117,54.46718979,5000
6500.006836,53.12791824,5000
6000.005859,46.86265945,5000
5500.005859,52.42396164,5000
4999.998047,39.25999832,5000
4500.001953,36.8296814,5000
4000.006104,35.0174408,5000
3500.00293,51.83029938,5000
2999.995117,43.04830933,5000
2500.003906,35.02175903,5000
2000,32.78577042,5000
1499.998047,31.26758003,5000
999.9979858,30.37911987,5000
15000.00977,30.02272034,5000
14500,32.53001022,5000
14000,34.12398911,5000
13499.99023,35.15505981,5000
13000,34.73088837,5000
12500.01953,35.5160408,5000
12000,37.31447983,5000
11500.00977,37.01274109,5000
11000,36.02809906,5000
10500,38.75408936,5000
10000.00977,39.83147049,5000
9500.011719,42.08819962,5000
8999.999023,44.95838165,5000
8499.99707,54.96496964,5000
7999.990234,54.98860931,5000
7499.99707,53.81568909,5000
7000.012207,54.0814209,5000
6499.999023,55.14657974,5000
6000.007813,56.7091713,5000
5499.999023,58.48917007,5000
4999.99707,35.66220856,5000
4500.001953,39.43688965,5000
3999.999023,45.24008942,5000
3500.000977,40.67570877,5000
3000.00293,43.96315002,5000
2500.004883,33.18748856,5000
2000,28.74574089,5000
1500,31.42432022,5000
1000.007019,30.01925087,5000
15000,30.05945969,5000
14499.99023,32.46352005,5000
14000,34.05020905,5000
13500,35.46886826,5000
13000,36.66350937,5000
12500.00977,39.56362915,5000
12000.00977,42.25733948,5000
11500,42.76160049,5000
11000,40.97301865,5000
10500.00977,41.37010956,5000
10000,41.92065048,5000
9500.000977,43.26861954,5000
9000.00293,45.29405975,5000
8500.010742,51.71829987,5000
8000.004883,51.61576843,5000
7499.996094,47.28807068,5000
6999.998047,48.82184982,5000
6499.996094,53.83872986,5000
5999.999023,59.11944962,5000
5500.007813,61.4899292,5000
4999.998047,48.74826813,5000
4499.994141,37.60239029,5000
3999.996094,33.37498856,5000
3500,48.37931061,5000
3000,38.34072113,5000
2500,32.03453064,5000
2000.000977,30.53042984,5000
1500.003052,32.02782822,5000
1000,31.86009979,5000
15000,30.78276062,5000
14500,32.62009811,5000
14000.00977,34.48728943,5000
13500,36.09371185,5000
13000,36.82476044,5000
12500,39.9654808,5000
12000,42.56380081,5000
11500,42.9469986,5000
11000,41.79397964,5000
10499.99023,41.46390915,5000
10000.00977,42.77882004,5000
9499.99707,43.69441986,5000
8999.986328,45.03839874,5000
8499.995117,49.72103882,5000
7999.98877,50.07839966,5000
7499.993164,45.53490067,5000
6999.990234,46.41862106,5000
6499.994141,48.40734863,5000
6000.001953,54.81259918,5000
5500.00293,60.39099121,5000
5000.006836,52.23331833,5000
4499.995117,45.78681946,5000
4000.003906,41.13648987,5000
3500,42.8832016,5000
3000,36.90641022,5000
2500.000977,35.54227066,5000
1999.995972,34.06013107,5000
1499.995972,32.00577927,5000
1000.000977,33.01800919,5000
15000,26.78130913,5000
14499.98047,30.01841927,5000
14000,32.4565506,5000
13499.99023,34.31420898,5000
13000.00977,34.98754883,5000
12500,37.74895096,5000
12000.00977,40.4372406,5000
11500,41.5922699,5000
11000,41.76517105,5000
10500,41.94363022,5000
9999.994141,42.94149017,5000
9500.00293,43.85702896,5000
9000.003906,45.13320923,5000
8499.995117,54.01025009,5000
8000,54.89733124,5000
7500.003906,50.99536896,5000
7000,49.63668823,5000
6499.999023,49.94855118,5000
6000.000977,50.03757095,5000
5500.006836,59.35626984,5000
4999.998047,46.16566086,5000
4499.99707,44.17805099,5000
4000.010986,40.19525909,5000
3499.993896,45.66838837,5000
3000.001953,32.90769958,5000
2499.999023,33.87958145,5000
2000,30.81884003,5000
1500,33.99201965,5000
1000.000977,33.02231979,5000
14999.99023,29.51240921,5000
14500,32.4890213,5000
14000,34.39574051,5000
13499.98047,35.99134827,5000
13000,36.54706955,5000
12500,38.87044144,5000
11999.99023,41.94760132,5000
11500,43.06932831,5000
11000.00977,42.54076004,5000
10500,42.50197983,5000
10000.01953,43.15446091,5000
9499.994141,43.1470108,5000
8999.995117,44.23768997,5000
8499.999023,51.14273071,5000
7999.995117,53.26539993,5000
7500.000977,53.74996948,5000
7000.000977,53.07136154,5000
6500,54.97229004,5000
5999.998047,56.52672958,5000
5499.999023,56.35412979,5000
4999.996094,36.50704956,5000
4499.999023,45.8105011,5000
3999.993896,48.49477005,5000
3500.001953,39.3141098,5000
2999.995117,33.6212883,5000
2499.999023,35.37786865,5000
2000.000977,30.62042046,5000
1499.998047,35.54388046,5000
999.9995117,33.63850021,5000
15000.00977,29.2844696,5000
14500,32.71490097,5000
14000,35.03985977,5000
13500,37.39204025,5000
12999.99023,38.88983154,5000
12500.00977,41.01200104,5000
12000.03027,43.23740005,5000
11500,43.78961182,5000
11000.00977,42.92638016,5000
10500,42.31515884,5000
10000,41.80503082,5000
9499.990234,42.38827896,5000
8999.995117,43.77194977,5000
8499.99707,48.70933914,5000
8000.000977,50.03818893,5000
7500.005859,47.39562988,5000
6999.990234,51.47552109,5000
6499.996094,55.80876923,5000
6000,59.66230011,5000
5499.996094,61.49716949,5000
4999.998047,42.29998016,5000
4499.996094,36.58805847,5000
3999.998047,46.18724823,5000
3499.99707,37.8427887,5000
2999.998047,33.38095093,5000
2500.004883,37.38953018,5000
2000,29.61775017,5000
1500,35.52915955,5000
999.991394,34.22961044,5000
15000,32.72628021,6000
14499.99023,34.55599976,6000
13999.99023,35.61719894,6000
13500.00977,36.2965889,6000
13000,35.54705811,6000
12500,35.56121063,6000
12000,36.24806976,6000
11500,37.07201004,6000
11000,38.15053177,6000
10500,41.72264862,6000
9999.99707,45.07138062,6000
9499.989258,45.93186188,6000
8999.995117,43.97879028,6000
8499.999023,48.8302803,6000
8000.003906,53.39886093,6000
7499.996094,56.38829041,6000
7000.003906,62.82390976,6000
6499.99707,60.31287003,6000
6000,48.23522949,6000
5500.000977,50.89702988,6000
4999.993164,47.71902847,6000
4500.00293,40.92502975,6000
4000,38.36222839,6000
3499.993896,44.47256088,6000
3000.004883,45.34648895,6000
2499.998047,39.88750076,6000
2000,29.60881996,6000
1500.004028,30.96763992,6000
1000.002014,31.16320992,6000
15000,30.34892082,6000
14500,32.52529907,6000
14000,34.9009819,6000
13499.99023,36.94556046,6000
12999.99023,38.60140991,6000
12499.99023,40.20050812,6000
12000.00977,41.41096878,6000
11500,43.25070953,6000
11000,45.38578033,6000
10500,49.65467072,6000
10000.00977,50.9405899,6000
9499.999023,52.93095016,6000
8999.99707,53.45584869,6000
8499.991211,53.36040115,6000
8000.008789,52.78913879,6000
7499.994141,50.11906815,6000
7000.005859,45.64538956,6000
6500,43.55810928,6000
6000.001953,40.43360901,6000
5500.00293,38.8705101,6000
4999.998047,40.75701141,6000
4500.001953,49.1735611,6000
3999.996094,50.26432037,6000
3500.001953,44.89274979,6000
2999.998047,37.79735947,6000
2499.999023,41.61235809,6000
2000,30.52494049,6000
1500,35.19552994,6000
1000.000977,31.46763992,6000
15000.00977,30.46908951,6000
14499.99023,32.2538414,6000
14000,34.47090912,6000
13500,36.1237793,6000
13000.00977,37.69321823,6000
12500.00977,39.67174911,6000
12000,41.53834915,6000
11499.99023,43.19733047,6000
11000.00977,45.32196045,6000
10500,49.90486908,6000
10000.00977,51.53097153,6000
9499.999023,52.98839188,6000
8999.996094,53.97830963,6000
8500.005859,53.88993073,6000
7999.998047,51.88668823,6000
7500.008789,51.59883118,6000
7000.003906,52.1805191,6000
6500.000977,49.50292969,6000
6000.003906,38.33665085,6000
5500.005859,33.52064133,6000
4999.996094,44.00812912,6000
4500,42.07704163,6000
4000.001953,38.50918961,6000
3499.998047,51.11161041,6000
3000.003906,45.22888947,6000
2499.999023,32.89234924,6000
2000.004028,26.18001938,6000
1499.998047,30.37178993,6000
1000.002991,31.64057922,6000
15000.00977,29.50071907,6000
14499.99023,31.62767982,6000
14000,33.61874008,6000
13500,34.94583893,6000
13000.00977,35.61510849,6000
12500,36.30477905,6000
12000,37.61940002,6000
11500,40.5189209,6000
10999.99023,43.51538086,6000
10500,48.92660904,6000
9999.991211,49.52331924,6000
9500.005859,53.83982086,6000
9000,54.80261993,6000
8499.994141,54.63351822,6000
7999.99707,51.05475998,6000
7499.99707,49.74250031,6000
7000.005859,51.84505081,6000
6499.995117,52.54544067,6000
5999.99707,45.84703064,6000
5500.00293,38.08182907,6000
5000.001953,37.75786972,6000
4499.995117,46.27552032,6000
4000.00293,47.18495941,6000
3500.00708,43.7637291,6000
3000,42.98233032,6000
2499.999023,31.24533081,6000
1999.998047,27.23365021,6000
1499.999023,29.99641991,6000
999.9968262,30.43685913,6000
15000.01953,29.74556923,6000
14500,31.60984993,6000
14000,33.58063889,6000
13500,35.34796906,6000
12999.99023,37.42628098,6000
12500,39.71776962,6000
12000,42.14622116,6000
11499.99023,44.24303055,6000
11000,45.98233032,6000
10500,50.24108887,6000
10000,51.67855835,6000
9500.000977,54.40781021,6000
9000,54.99517822,6000
8500.001953,52.08211899,6000
8000.012207,45.93434143,6000
7500,43.17835999,6000
6999.99707,43.5348587,6000
6499.991211,47.32727051,6000
6000.003906,50.87174988,6000
5500.00293,51.55746841,6000
4999.999023,45.10784149,6000
4499.999023,42.3599205,6000
4000.001953,36.14836121,6000
3499.99707,49.41233826,6000
3000.000977,43.61764908,6000
2499.998047,27.63656044,6000
2000.003052,32.63085175,6000
1499.998047,29.77783966,6000
1000.000977,32.82812119,6000
15000,30.34892082,6000
14500.00977,31.71611023,6000
14000.00977,34.02647018,6000
13500,35.93053818,6000
13000.00977,37.61452103,6000
12500,40.283741,6000
12000.00977,42.5047493,6000
11500.00977,44.27391052,6000
11000,45.82777023,6000
10500.00977,49.69041061,6000
9999.995117,52.1827507,6000
9499.996094,53.73751068,6000
9000.009766,54.45478058,6000
8500.007813,49.68069077,6000
7999.99707,43.61623001,6000
7500.009766,41.57305908,6000
6999.993164,41.57044983,6000
6499.995117,41.88750839,6000
5999.998047,41.4367485,6000
5499.998047,48.24393082,6000
5000.001953,50.46046066,6000
4500,48.00976944,6000
3999.99707,47.40670013,6000
3499.998047,44.05858994,6000
3000,37.92404938,6000
2499.999023,35.02988052,6000
2000.000977,30.60910034,6000
1500.001953,32.39710999,6000
999.9995117,33.64720154,6000
15000,26.86360931,6000
14500,29.41976929,6000
14000,32.08116913,6000
13500,34.16495895,6000
13000,35.88492966,6000
12500.00977,38.20116043,6000
12000.00977,40.61074829,6000
11500,43.69866943,6000
10999.98047,46.48559952,6000
10500.00977,50.98088074,6000
10000,52.98907089,6000
9499.992188,54.75938034,6000
9000.004883,55.15367889,6000
8500.012695,53.76004028,6000
7999.992188,51.63069153,6000
7499.993164,48.42045975,6000
7000,45.94998932,6000
6499.983887,44.49134064,6000
5999.996094,36.97549057,6000
5500.003906,43.12841034,6000
5000.003906,46.94226837,6000
4500.000977,46.80609894,6000
4000.001953,44.6698494,6000
3500.000977,47.29000092,6000
2999.998047,37.57746887,6000
2500,29.15930939,6000
1999.996948,30.79924965,6000
1499.998047,33.33612061,6000
999.9946289,33.38172913,6000
15000,29.22970009,6000
14500.00977,31.54659081,6000
14000,33.91201019,6000
13499.99023,35.76900101,6000
13000,37.20806122,6000
12500,39.29867935,6000
11999.99023,41.90439987,6000
11500,44.81734085,6000
11000,46.93944168,6000
10500,51.23419952,6000
9999.985352,52.00257111,6000
9500.00293,53.46773911,6000
8999.995117,52.95856094,6000
8499.990234,49.26166916,6000
7999.996094,48.36185074,6000
7500.000977,50.15731049,6000
7000.00293,50.17657089,6000
6500,49.74251175,6000
6000,46.72661972,6000
5499.998047,36.67350006,6000
5000.001953,41.50254059,6000
4499.998047,48.11600113,6000
3999.99707,49.70586014,6000
3499.995117,42.53564072,6000
3000.001953,33.13042068,6000
2500.008057,31.38084984,6000
2000,31.59019089,6000
1499.998047,34.83831024,6000
1000.005005,33.46393967,6000
14999.99023,29.0323391,6000
14500,31.70762062,6000
14000,34.68281174,6000
13500.00977,36.86962891,6000
13000.00977,39.2439003,6000
12499.99023,41.27426147,6000
12000,43.32292175,6000
11499.99023,45.35308838,6000
10999.99023,47.32876968,6000
10500,50.53826904,6000
10000,50.63351059,6000
9499.998047,51.77642059,6000
8999.998047,51.75111008,6000
8499.999023,47.48131943,6000
8000.00293,43.67612076,6000
7499.98877,42.80651093,6000
7000.000977,45.80939865,6000
6499.998047,51.62413025,6000
5999.996094,51.72797012,6000
5500.003906,44.97800064,6000
4999.991211,40.2406311,6000
4499.999023,44.51974869,6000
4000,48.32537079,6000
3499.99292,40.6905098,6000
3000.001953,36.56776047,6000
2500.001953,33.6971817,6000
2000.003052,28.87615967,6000
1499.994995,34.72050095,6000
1000.007019,34.51477051,6000
15000,27.63427925,6000
14500,30.52716064,6000
